Item.Filename,target_word,image_selection,feedback,reps,Item.Height,Item.Backness,Talker.Token
E2_0.476_1.320.wav,whod,forward-natural,FALSE,2,0.465,1.339,3
E2_0.538_2.021.wav,heed,forward-natural,FALSE,2,0.699,2.069,4
E2_0.592_1.325.wav,whod,forward-natural,FALSE,2,0.590,1.325,7
E2_0.600_1.184.wav,whod,forward-natural,FALSE,2,0.583,1.205,4
E2_0.606_1.163.wav,whod,forward-natural,FALSE,2,0.597,1.173,1
E2_0.656_2.083.wav,heed,forward-natural,FALSE,2,0.621,2.125,9
E2_0.720_2.024.wav,heed,forward-natural,FALSE,2,0.719,2.031,3
E2_0.727_1.262.wav,whod,forward-natural,FALSE,2,0.725,1.262,5
E2_0.732_1.262.wav,whod,forward-natural,FALSE,2,0.727,1.267,8
E2_0.749_2.001.wav,heed,forward-natural,FALSE,2,0.746,2.018,1
E2_0.760_1.141.wav,whod,forward-natural,FALSE,2,0.751,1.149,2
E2_0.767_1.998.wav,heed,forward-natural,FALSE,2,0.762,1.999,2
E2_0.778_1.957.wav,heed,forward-natural,FALSE,2,0.778,1.957,8
E2_0.796_1.241.wav,whod,forward-natural,FALSE,2,0.790,1.242,6
E2_0.807_1.266.wav,whod,forward-natural,FALSE,2,0.810,1.266,9
E2_0.889_1.861.wav,heed,forward-natural,FALSE,2,0.888,1.863,5
E2_0.912_1.831.wav,heed,forward-natural,FALSE,2,0.912,1.832,7
E2_0.937_1.809.wav,heed,forward-natural,FALSE,2,0.939,1.803,6
E2_1.059_1.081.wav,hood,forward-natural,FALSE,2,1.180,1.008,3
E2_1.071_1.424.wav,hid,forward-natural,FALSE,2,1.081,1.424,8
E2_1.122_0.928.wav,hid,forward-natural,FALSE,2,1.125,1.403,7
E2_1.123_1.436.wav,hid,forward-natural,FALSE,2,1.123,1.432,2
E2_1.142_1.010.wav,hood,forward-natural,FALSE,2,1.141,1.090,6
E2_1.160_1.082.wav,hid,forward-natural,FALSE,2,1.162,1.358,9
E2_1.172_0.977.wav,hood,forward-natural,FALSE,2,1.171,0.984,7
E2_1.175_1.001.wav,hood,forward-natural,FALSE,2,1.171,1.007,5
E2_1.180_1.020.wav,hood,forward-natural,FALSE,2,1.180,1.016,9
E2_1.187_0.981.wav,hood,forward-natural,FALSE,2,1.188,0.987,1
E2_1.196_1.325.wav,hid,forward-natural,FALSE,2,1.196,1.325,4
E2_1.197_1.331.wav,hid,forward-natural,FALSE,2,1.210,1.322,5
E2_1.211_1.338.wav,hid,forward-natural,FALSE,2,1.218,1.328,3
E2_1.216_0.930.wav,hood,forward-natural,FALSE,2,1.228,0.892,4
E2_1.213_1.316.wav,hid,forward-natural,FALSE,2,1.213,1.316,1
E2_1.236_1.344.wav,hid,forward-natural,FALSE,2,1.236,1.341,6
E2_1.239_0.962.wav,hood,forward-natural,FALSE,2,1.244,0.968,8
E2_1.241_0.934.wav,hood,forward-natural,FALSE,2,1.244,0.927,2
E2_1.272_0.800.wav,head,forward-natural,FALSE,2,1.355,1.059,6
E2_1.333_1.018.wav,head,forward-natural,FALSE,2,1.333,1.016,3
E2_1.336_0.935.wav,head,forward-natural,FALSE,2,1.331,1.057,8
E2_1.364_1.052.wav,head,forward-natural,FALSE,2,1.361,1.061,4
E2_1.384_0.880.wav,hut,forward-natural,FALSE,2,1.410,0.848,8
E2_1.387_0.822.wav,head,forward-natural,FALSE,2,1.387,0.962,7
E2_1.391_0.928.wav,head,forward-natural,FALSE,2,1.389,1.001,9
E2_1.393_0.885.wav,had,forward-natural,FALSE,2,1.463,0.866,8
E2_1.395_0.947.wav,head,forward-natural,FALSE,2,1.393,0.951,5
E2_1.396_0.541.wav,odd,forward-natural,FALSE,2,1.419,0.553,9
E2_1.397_0.596.wav,head,forward-natural,FALSE,2,1.374,1.036,1
E2_1.414_0.928.wav,head,forward-natural,FALSE,2,1.414,0.985,2
E2_1.418_0.557.wav,odd,forward-natural,FALSE,2,1.412,0.570,6
E2_1.418_0.800.wav,had,forward-natural,FALSE,2,1.462,0.821,3
E2_1.419_0.528.wav,odd,forward-natural,FALSE,2,1.411,0.568,2
E2_1.429_0.571.wav,odd,forward-natural,FALSE,2,1.429,0.566,1
E2_1.436_0.479.wav,odd,forward-natural,FALSE,2,1.431,0.538,4
E2_1.444_0.763.wav,had,forward-natural,FALSE,2,1.491,0.714,2
E2_1.450_0.439.wav,odd,forward-natural,FALSE,2,1.448,0.453,3
E2_1.456_0.536.wav,odd,forward-natural,FALSE,2,1.452,0.532,7
E2_1.467_0.462.wav,had,forward-natural,FALSE,2,1.542,0.779,4
E2_1.468_0.728.wav,had,forward-natural,FALSE,2,1.504,0.725,7
E2_1.471_0.754.wav,hut,forward-natural,FALSE,2,1.475,0.745,6
E2_1.472_0.450.wav,odd,forward-natural,FALSE,2,1.435,0.532,5
E2_1.475_0.633.wav,had,forward-natural,FALSE,2,1.489,0.699,9
E2_1.483_0.415.wav,had,forward-natural,FALSE,2,1.552,0.796,5
E2_1.486_0.723.wav,hut,forward-natural,FALSE,2,1.489,0.718,5
E2_1.502_0.469.wav,had,forward-natural,FALSE,2,1.518,0.750,6
E2_1.504_0.691.wav,hut,forward-natural,FALSE,2,1.504,0.689,7
E2_1.506_0.681.wav,hut,forward-natural,FALSE,2,1.511,0.664,1
E2_1.513_0.470.wav,odd,forward-natural,FALSE,2,1.458,0.514,8
E2_1.515_0.449.wav,hut,forward-natural,FALSE,2,1.513,0.654,9
E2_1.515_0.598.wav,hut,forward-natural,FALSE,2,1.531,0.608,3
E2_1.520_0.477.wav,hut,forward-natural,FALSE,2,1.537,0.713,2
E2_1.520_0.684.wav,hut,forward-natural,FALSE,2,1.520,0.685,4
E2_1.585_0.298.wav,had,forward-natural,FALSE,2,1.544,0.710,1
